ranker	qid	qlen	term_info
deepimpact	1037798	3	who,2763636,207 robert,36070,223 gray,17411,235
deepimpact	104861	4	cost,501344,181 interior,22352,212 concrete,28250,237 flooring,13915,211
deepimpact	1063750	4	why,3112297,175 us,712284,151 enter,100466,171 ww1,7952,211
deepimpact	1103812	5	who,2763636,207 formed,133798,144 commonwealth,5478,232 independent,44558,228 states,469401,162
deepimpact	1106007	2	define,799950,160 visceral,2553,248
deepimpact	1110199	4	what,4652091,75 wifi,23805,246 vs,289208,201 bluetooth,5858,251
deepimpact	1112341	5	what,4652091,75 daily,124718,172 life,287492,194 thai,3475,233 people,771049,194
deepimpact	1113437	4	what,4652091,75 physical,89907,166 description,83210,181 spruce,2932,242
deepimpact	1114646	3	what,4652091,75 famvir,62,252 prescribed,54879,164
deepimpact	1114819	5	what,4652091,75 durable,13326,192 medical,308825,161 equipment,55114,187 consist,35639,202
deepimpact	1115776	4	what,4652091,75 aml,769,243 surveillance,3582,215 analyst,11463,219
deepimpact	1117099	3	what,4652091,75 active,68862,214 margin,9724,218
deepimpact	1121402	5	what,4652091,75 can,3680401,206 contour,1686,251 plowing,453,239 reduce,106793,209
deepimpact	1121709	3	what,4652091,75 three,332311,185 percenters,47,200
deepimpact	1124210	2	tracheids,127,252 part,554591,184
deepimpact	1129237	5	hydrogen,24707,229 liquid,73097,204 below,213373,208 what,4652091,75 temperature,214888,202
deepimpact	1133167	3	how,4393766,132 weather,150078,199 jamaica,4905,245
deepimpact	130510	3	definition,1538171,145 declaratory,275,237 judgment,11714,219
deepimpact	131843	2	definition,1538171,145 sigmet,20,253
deepimpact	146187	5	difference,1396841,185 between,1762644,172 mcdouble,28,207 double,51789,214 cheeseburger,1129,231
deepimpact	148538	4	difference,1396841,185 between,1762644,172 rn,18614,232 bsn,2229,240
deepimpact	156493	2	goldfish,1443,252 grow,201632,203
deepimpact	168216	4	legionella,358,249 pneumophila,139,230 cause,784923,157 pneumonia,13001,232
deepimpact	182539	3	example,382474,174 monotonic,75,241 function,386943,171
deepimpact	183378	3	exons,392,235 definition,1538171,145 biology,61984,145
deepimpact	19335	3	anthropological,850,211 definition,1538171,145 environment,101827,202
deepimpact	207786	4	how,4393766,132 sharks,5688,235 warm,58914,200 blooded,1594,145
deepimpact	264014	5	how,4393766,132 long,1110155,176 life,287492,194 cycle,72532,225 flea,4643,227
